"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1999,"CTL","SAXOPP","pt_sen_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"CTL","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"CTL","SAXOPP","veg_bbk",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","cap_ripe_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_bbk_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_bds_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","fl_open_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","pt_fall_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","pt_sen_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","pt_sen_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
1999,"OTC","SAXOPP","veg_bbk",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","cap_ripe_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","cap_ripe_l",20,9,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_bbk_f",20,1,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_bbk_l",20,7,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_bds_f",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_mat_l",20,4,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","fl_open_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","pt_fall_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","pt_sen_f",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","pt_sen_l",20,2,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"CTL","SAXOPP","veg_bbk",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","cap_imm_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","cap_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","cap_ripe_f",20,12,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","cap_ripe_l",20,14,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_bbk_f",20,3,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_bbk_l",20,12,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_bds_f",20,0,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_mat_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_mat_l",20,9,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","fl_open_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","pd_elon_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","pt_fall_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","pt_sen_f",20,3,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","pt_sen_l",20,4,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2000,"OTC","SAXOPP","veg_bbk",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","cap_deh",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","cap_imm_f",20,5,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","cap_mat_f",20,4,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","cap_ripe_f",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","cap_ripe_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_bbk_f",20,7,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_bbk_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_bds_f",20,3,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_bds_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_mat_f",20,2,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
2001,"CTL","SAXOPP","fl_mat_l",0,20,"ALEXFIORD.SAXOPP.GH","ALEXFIORD"
